session_esm,modified_esm,ended_esm,created_esm,sleep_1,sleep_2,sad,calm,afraid,unrested,enthusiastic,angry,worried,subc_psycho,cheerful,irritated,active,event_pleasantness,homeo_hungry,homeo_craving,homeo_howmuch,homeo_full,eating_1,eating_2,eating_3,eating_4,alcohol,coffee,ple_control,ple_strange,ple_thoughts,ple_suspicion,ple_treatment,ple_perception,ple_thougtscontrol,ple_familiarstrange
zFINJeOsgmzXvaLfezoH7QFe3_CybDl18KxI4ifxla2vwG0uvcbVPBJuMiujDN51,2021-03-29T20:10:31Z,2021-03-29T20:10:31Z,2021-03-29T20:08:27Z,7,8,2,5,2,4,5,2,3,5,5,5,2,7,3,3,5,3,3,1,1,3,0,NA,1,1,1,1,1,4,1,1
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-29T22:08:21Z,2021-03-29T22:08:21Z,2021-03-29T22:06:28Z,6,2,1,5,1,1,6,1,1,1,5,1,5,5,1,1,1,5,3,3,3,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-29T22:27:25Z,2021-03-29T22:27:25Z,2021-03-29T22:25:16Z,NA,NA,1,5,1,2,5,1,3,1,4,1,5,6,1,1,1,5,2,2,4,4,0,0,1,1,1,1,2,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-30T10:02:57Z,2021-03-30T10:02:57Z,2021-03-30T10:01:25Z,NA,NA,1,1,1,1,5,1,3,1,4,1,4,7,2,1,2,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-30T12:04:25Z,2021-03-30T12:04:25Z,2021-03-30T12:01:03Z,7,6,2,4,1,1,3,1,3,1,4,2,5,4,3,3,3,2,1,1,2,2,0,0,2,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-30T12:02:21Z,2021-03-30T12:02:21Z,2021-03-30T12:01:05Z,NA,NA,1,5,1,1,4,1,3,1,4,1,5,6,1,1,1,5,2,4,3,1,0,1,1,1,1,1,1,1,1,1
zFINJeOsgmzXvaLfezoH7QFe3_CybDl18KxI4ifxla2vwG0uvcbVPBJuMiujDN51,2021-03-30T12:25:09Z,2021-03-30T12:25:10Z,2021-03-30T12:23:03Z,8,8,4,5,2,2,5,2,3,4,5,4,5,3,2,2,4,5,1,1,1,3,0,1,6,5,5,2,2,3,5,2
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-30T16:32:34Z,2021-03-30T16:32:34Z,2021-03-30T16:31:17Z,NA,NA,1,4,1,2,4,1,3,2,4,1,5,6,1,1,1,4,1,1,1,1,0,1,1,1,1,1,1,1,1,1
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-30T20:15:13Z,2021-03-30T20:15:13Z,2021-03-30T20:13:02Z,NA,NA,1,6,1,1,3,1,3,1,3,1,2,7,4,5,5,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
3ISpJlTUTMxNP-TF7bcIjbOjFT-O1sFAKH03nrMaK1CLR4rTDljxkc0o5mwPN9LI,2021-03-30T22:02:36Z,2021-03-30T22:02:36Z,2021-03-30T22:00:42Z,NA,NA,1,5,1,1,3,1,2,1,4,1,2,6,1,2,2,4,3,3,3,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-31T10:20:14Z,2021-03-31T10:20:14Z,2021-03-31T10:18:37Z,8,10,1,5,1,1,4,1,2,1,4,1,4,6,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-31T12:06:56Z,2021-03-31T12:06:56Z,2021-03-31T12:01:07Z,NA,NA,1,6,1,1,4,1,3,1,5,1,6,7,1,1,1,4,1,3,1,1,0,1,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-31T20:22:03Z,2021-03-31T20:22:03Z,2021-03-31T20:13:54Z,NA,NA,1,5,1,2,5,1,3,1,5,1,6,6,1,1,1,5,1,4,2,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-03-31T22:02:59Z,2021-03-31T22:02:59Z,2021-03-31T22:01:44Z,NA,NA,1,5,1,1,5,1,2,1,4,1,6,6,1,1,1,5,1,5,1,3,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-01T12:36:37Z,2021-04-01T12:36:37Z,2021-04-01T12:33:25Z,8,10,1,5,1,2,5,1,3,1,5,1,6,7,1,1,3,2,1,2,2,1,0,1,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-01T16:21:22Z,2021-04-01T16:21:22Z,2021-04-01T16:20:03Z,NA,NA,1,5,1,1,6,1,2,1,6,1,6,7,1,1,1,5,4,4,3,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-01T22:07:32Z,2021-04-01T22:07:32Z,2021-04-01T22:06:03Z,NA,NA,1,5,1,1,5,1,3,1,5,1,6,7,1,1,1,5,2,4,4,2,2,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-02T18:41:39Z,2021-04-02T18:41:39Z,2021-04-02T18:39:24Z,5,9,1,5,1,1,5,1,4,2,5,1,6,6,1,1,2,4,4,1,3,1,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-02T20:10:06Z,2021-04-02T20:10:06Z,2021-04-02T20:06:36Z,NA,NA,1,5,1,1,5,1,3,1,5,1,6,6,1,1,1,5,4,4,4,3,1,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-02T22:36:52Z,2021-04-02T22:36:52Z,2021-04-02T22:34:43Z,NA,NA,2,5,1,2,5,2,3,2,3,2,5,5,1,1,1,5,1,1,1,1,2,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-04T14:14:38Z,2021-04-04T14:14:38Z,2021-04-04T14:11:45Z,8,10,1,6,1,1,5,1,3,1,6,1,6,7,1,1,1,5,2,4,3,4,0,0,1,1,1,1,1,1,1,1
I7X8ha7jxXbROaGJzxhzMgamlTxh67tqlk5xt9aodXxK-vpHZg15OyMxP-lY0WSW,2021-04-05T10:50:49Z,2021-04-05T10:50:49Z,2021-04-05T10:07:54Z,8,10,1,6,1,1,5,1,2,1,5,1,5,7,1,2,2,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
