"id_esm","edu","gender","age","city","start_date","day","beep","nback_dprime","gonogo_dprime","gonogo_dprime_centered","nback_dprime_centered","event_pleasantness","event_unpleasantness","event_pleasantness_centered","event_unpleasantness_centered","sad","calm","cheerful","angry","sad_mean_grand_centered","calm_mean_grand_centered","cheerful_mean_grand_centered","angry_mean_grand_centered","event_unpleasantness_mean_grand_centered","gonogo_dprime_mean_grand_centered","nback_dprime_mean_grand_centered","gonogo_corr_rt_median_mean_grand_centered","nback_corr_rt_median_mean_grand_centered","stressor_sum_mean_grand_centered","cerq_self_blame","cerq_acceptance","cerq_rumination","cerq_attention","cerq_plan","cerq_reappraisal","cerq_new_perspective","cerq_catastrophize","cerq_blame_others","mss_neg","mss_pos","mss_dis","mzq_refuse_reflection","mzq_emotional_awareness","mzq_psychic_equivalence","mzq_regulate_affect","mzq_sum"
106,6,"Female",49,2,"2021-04-13",10,7,4.15762707666475,2.74137689696186,0.173026280234513,0.699946882409819,5,3,1.47619047619048,-1.47619047619048,1,6,5,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",11,1,3.16177592629987,3.35243025189336,0.784079635166013,-0.295904267955057,4,4,0.476190476190476,-0.476190476190476,1,5,3,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",11,2,3.70649689641799,2.87192974147539,0.303579124748036,0.248816702163058,5,3,1.47619047619048,-1.47619047619048,1,5,4,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",11,3,4.15762707666475,3.54194318210259,0.973592565375244,0.699946882409819,5,3,1.47619047619048,-1.47619047619048,1,4,5,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",11,4,3.61290610654663,2.07668483074372,-0.491665785983634,0.155225912291704,5,3,1.47619047619048,-1.47619047619048,1,5,5,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",11,8,3.16177592629987,2.87192974147539,0.303579124748036,-0.295904267955057,5,3,1.47619047619048,-1.47619047619048,1,6,4,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",12,2,3.70649689641799,2.46823865267412,-0.100111964053232,0.248816702163058,5,3,1.47619047619048,-1.47619047619048,1,5,4,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",12,3,4.15762707666475,2.80149012226115,0.233139505533802,0.699946882409819,3,5,-0.523809523809524,0.523809523809524,1,5,3,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",12,5,3.16177592629987,3.06144267168462,0.493092054957267,-0.295904267955057,4,4,0.476190476190476,-0.476190476190476,1,5,3,1,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
106,6,"Female",49,2,"2021-04-13",13,2,4.15762707666475,3.06144267168462,0.493092054957268,0.699946882409819,3,5,-0.523809523809524,0.523809523809524,1,4,2,2,-0.661092299926286,0.0794882930774046,-0.766176941565711,-0.0237951580830438,0.985688040209506,1.15911202753677,1.68816350235698,-0.0185955925303274,-0.125963389167142,-4.193377508236,14,12,12,17,11,8,13,9,9,11,0,1,15,11,13,9,34
